Laptop Adı,Fiyat,İnç,RAM,İşlemci,Puan
Asus ROG Strix Scar 18 G834JYR-N609829,67678.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609829,67678.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609829,67678.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609830,198835.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609830,198835.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609830,198835.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609830,198835.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609830,198835.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-R6019W,187166.0,18.0,32.0,3,88.0
Asus ROG Strix Scar 18 G834JYR-R6019W,187166.0,18.0,32.0,3,88.0
Asus ROG Strix Scar 18 G834JYR-R6019W,187166.0,18.0,32.0,3,88.0
Asus ROG Strix Scar 18 G834JYR-R6019W,187166.0,18.0,32.0,3,88.0
Asus ROG Strix Scar 18 G834JYR-R6019W,187166.0,18.0,32.0,3,88.0
HP Victus Gaming 16-r1077nt (VCS9J278EA14),163362.0,16.1,32.0,0,88.0
HP Victus Gaming 16-r1077nt (VCS9J278EA14),163362.0,16.1,32.0,0,88.0
HP Victus Gaming 16-r1077nt (VCS9J278EA14),163362.0,16.1,32.0,0,88.0
HP Victus Gaming 16-r1077nt (VCS9J278EA14),163362.0,16.1,32.0,0,88.0
HP Victus Gaming 16-r1077nt (VCS9J278EA14),163362.0,16.1,32.0,0,88.0
HP Victus Gaming 16-r1077nt (VCS9J278EA16),166536.0,16.1,64.0,0,92.0
HP Victus Gaming 16-r1077nt (VCS9J278EA16),166536.0,16.1,64.0,0,92.0
HP Victus Gaming 16-r1077nt (VCS9J278EA16),166536.0,16.1,64.0,0,92.0
HP Victus Gaming 16-r1077nt (VCS9J278EA16),166536.0,16.1,64.0,0,92.0
HP Victus Gaming 16-r1077nt (VCS9J278EA16),166536.0,16.1,64.0,0,92.0
HP Victus Gaming 16-r1077nt (VCS9J278EA17),220059.54,16.1,64.0,0,93.0
HP Victus Gaming 16-r1077nt (VCS9J278EA17),220059.54,16.1,64.0,0,93.0
HP Victus Gaming 16-r1077nt (VCS9J278EA17),220059.54,16.1,64.0,0,93.0
